user_id,appointment_id,center_id,service_type,day_of_week,hour,previous_no_show_count,notification_sent,no_show
25795,1,Center_3,توثيق,Wed,9,1,0,0
10860,2,Center_2,بدل تالف,Sun,17,1,1,1
86820,3,Center_2,بدل تالف,Tue,20,0,1,0
64886,4,Center_3,إصدار,Fri,21,1,1,0
16265,5,Center_4,تجديد,Mon,13,2,1,0
92386,6,Center_2,بدل تالف,Thu,18,1,0,0
47194,7,Center_1,إصدار,Mon,9,1,1,0
97498,8,Center_3,بدل تالف,Thu,15,0,1,0
54131,9,Center_1,توثيق,Sun,16,1,1,0
70263,10,Center_2,بدل تالف,Tue,13,1,0,0
26023,11,Center_2,تجديد,Sat,13,0,1,0
51090,12,Center_3,تجديد,Thu,12,1,1,1
77221,13,Center_4,تجديد,Fri,17,0,1,1
74820,14,Center_1,إصدار,Mon,14,5,0,0
10769,15,Center_4,بدل تالف,Wed,13,1,1,0
69735,16,Center_1,تجديد,Mon,20,1,1,0
72955,17,Center_4,توثيق,Tue,16,1,1,0
74925,18,Center_3,توثيق,Thu,13,2,1,0
77969,19,Center_1,توثيق,Mon,8,2,0,0
15311,20,Center_3,إصدار,Sun,11,2,1,0
93104,21,Center_4,تجديد,Fri,14,2,1,0
63707,22,Center_4,تجديد,Fri,19,1,0,0
95305,23,Center_4,بدل تالف,Wed,10,1,0,0
38693,24,Center_3,إصدار,Sun,19,2,1,0
81932,25,Center_2,توثيق,Sat,20,1,1,0
35658,26,Center_2,بدل تالف,Sat,13,1,1,0
94478,27,Center_1,توثيق,Sat,11,2,1,0
28431,28,Center_3,توثيق,Sat,12,1,1,0
12747,29,Center_3,تجديد,Tue,15,0,1,0
69150,30,Center_3,بدل تالف,Tue,20,4,1,0
75725,31,Center_4,إصدار,Tue,18,2,0,0
94654,32,Center_3,توثيق,Sun,20,2,1,0
45773,33,Center_2,تجديد,Sun,19,2,1,0
77435,34,Center_1,تجديد,Fri,13,1,1,1
66886,35,Center_2,توثيق,Mon,21,0,1,1
76803,36,Center_3,تجديد,Wed,19,1,1,1
41551,37,Center_1,تجديد,Sun,9,0,1,0
21394,38,Center_1,توثيق,Mon,21,2,1,0
79092,39,Center_3,إصدار,Sat,10,0,0,0
13890,40,Center_3,توثيق,Sat,8,1,0,0
51606,41,Center_2,بدل تالف,Fri,16,1,1,0
90038,42,Center_2,توثيق,Sun,17,0,0,0
97313,43,Center_4,توثيق,Tue,19,2,0,0
20627,44,Center_4,إصدار,Fri,18,1,0,1
18792,45,Center_4,توثيق,Mon,19,3,1,0
83969,46,Center_3,توثيق,Thu,13,2,1,0
53001,47,Center_3,تجديد,Fri,17,2,1,0
86552,48,Center_4,توثيق,Wed,16,3,1,0
33897,49,Center_4,إصدار,Mon,10,1,0,0
78148,50,Center_2,تجديد,Tue,21,2,1,0
33483,51,Center_4,توثيق,Thu,19,2,1,1
58555,52,Center_4,تجديد,Tue,12,4,1,1
27159,53,Center_1,بدل تالف,Sun,12,0,1,1
90077,54,Center_4,توثيق,Fri,12,1,1,1
45920,55,Center_1,توثيق,Fri,16,1,1,0
77121,56,Center_4,تجديد,Fri,20,2,0,1
79479,57,Center_1,توثيق,Tue,20,0,0,0
99475,58,Center_4,توثيق,Tue,9,1,1,0
29457,59,Center_2,إصدار,Wed,13,1,0,0
76557,60,Center_3,توثيق,Tue,15,2,1,0
87189,61,Center_1,إصدار,Thu,17,1,1,0
88953,62,Center_3,بدل تالف,Sat,17,0,0,0
62995,63,Center_2,بدل تالف,Tue,11,2,1,0
50757,64,Center_4,تجديد,Sat,20,0,1,0
19692,65,Center_4,تجديد,Wed,21,2,0,0
55758,66,Center_2,تجديد,Thu,8,2,1,0
82409,67,Center_3,تجديد,Sun,12,0,1,0
81211,68,Center_3,توثيق,Sat,12,1,1,0
75697,69,Center_3,إصدار,Sun,11,3,1,0
47065,70,Center_3,تجديد,Thu,9,0,1,1
42606,71,Center_1,بدل تالف,Thu,14,0,1,0
21534,72,Center_3,توثيق,Fri,20,1,1,0
50397,73,Center_1,إصدار,Thu,14,1,0,0
11016,74,Center_2,إصدار,Thu,18,3,1,1
99789,75,Center_4,تجديد,Sun,10,1,1,0
65591,76,Center_1,تجديد,Sat,17,2,1,0
99812,77,Center_3,إصدار,Mon,13,1,1,0
33247,78,Center_4,بدل تالف,Tue,9,3,1,0
34300,79,Center_1,تجديد,Fri,20,1,1,0
84065,80,Center_4,إصدار,Wed,18,1,0,0
92798,81,Center_2,توثيق,Thu,8,0,1,1
19268,82,Center_3,إصدار,Sun,16,1,0,0
96807,83,Center_2,تجديد,Mon,18,0,1,0
22185,84,Center_4,توثيق,Sun,17,2,1,0
73704,85,Center_2,بدل تالف,Mon,19,0,1,0
96779,86,Center_3,إصدار,Wed,19,0,0,0
49099,87,Center_1,إصدار,Fri,8,1,1,0
18571,88,Center_2,إصدار,Mon,17,1,0,0
48044,89,Center_3,توثيق,Fri,12,2,1,1
61214,90,Center_4,تجديد,Fri,10,2,1,0
71228,91,Center_2,إصدار,Fri,16,2,1,0
58984,92,Center_1,توثيق,Wed,15,0,0,0
50774,93,Center_2,إصدار,Tue,11,1,1,0
12568,94,Center_4,تجديد,Thu,19,1,1,0
72592,95,Center_4,توثيق,Thu,15,3,1,1
77563,96,Center_4,بدل تالف,Fri,12,1,1,0
12695,97,Center_2,إصدار,Thu,20,0,1,0
58190,98,Center_2,تجديد,Mon,19,1,1,0
15258,99,Center_2,بدل تالف,Thu,17,2,1,0
97538,100,Center_1,تجديد,Sun,15,0,0,0
49504,101,Center_3,بدل تالف,Tue,19,4,1,0
43159,102,Center_2,تجديد,Sun,18,3,1,0
23986,103,Center_1,بدل تالف,Sun,9,1,0,0
71858,104,Center_4,توثيق,Tue,15,0,1,0
22666,105,Center_2,بدل تالف,Tue,14,4,1,1
48660,106,Center_2,تجديد,Wed,20,0,0,0
13561,107,Center_2,إصدار,Fri,13,1,0,0
36854,108,Center_1,بدل تالف,Mon,15,0,1,0
74505,109,Center_2,تجديد,Wed,21,2,1,0
62251,110,Center_2,إصدار,Sat,14,0,1,0
32662,111,Center_3,توثيق,Sat,12,2,0,0
18392,112,Center_1,توثيق,Wed,12,0,1,0
40535,113,Center_3,إصدار,Wed,18,1,1,1
88603,114,Center_3,تجديد,Mon,20,3,1,1
62256,115,Center_3,تجديد,Tue,17,0,1,0
99135,116,Center_3,بدل تالف,Sat,20,0,1,1
45222,117,Center_4,توثيق,Fri,14,0,0,1
87373,118,Center_2,توثيق,Fri,21,3,1,0
89575,119,Center_3,توثيق,Tue,20,2,1,1
94651,120,Center_1,توثيق,Sun,15,0,0,0
73335,121,Center_2,تجديد,Sun,19,4,1,1
